Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Project,Reference Number,Reference Number Type,Project Location,City Agencies Lobbied,Lobbying Firm Quarterly Report
M Advisors LLC,,,,EMERSON COLLEGE,,2,2014,DEVELOPMENT OF AFFILIATED FACILITY,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,"FELD ENTERTAINMENT, INC.",,2,2014,PLANNING & COORDINATION OF EVENTS & SHOWS,,,,"City Attorney, Office of | City Council (incl. Districts and Committees) | Animal Services | Public Works, Board of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,GREEN TECH COAST INC.,,2,2014,RFP FOR MINERAL EXTRACTION AT PORT OF LOS ANGELES,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library | Municipal Improvement Corporation of LA (MICLA) | Neighborhoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,HNTB CORPORATION,,2,2014,CONSTRUCTION PROJECTS,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library | Municipal Improvement Corporation of LA (MICLA) | Neighborhoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 11",,2,2014,CONSTRUCTION PROJECTS,,,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Convention Center | Public Works, Board of | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 18",,2,2014,COLLECTIVE BARGAINING,,,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,REN LA LIMITED PARTNERSHIP,,2,2014,RENAISSANCE HOTEL PROJECT AT OLYMPIC BLVD. & GEORGIA ST.,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library | Municipal Improvement Corporation of LA (MICLA) | Neighborhoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,"SHANGRI-LA CONSTRUCTION, LP",,2,2014,CONSTRUCTION PROJECTS,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library | Municipal Improvement Corporation of LA (MICLA) | Neighborhoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,TITAN OUTDOOR LLC,,2,2014,OUTDOOR ADVERTISING,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library | Municipal Improvement Corporation of LA (MICLA) | Neighborhoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
M Advisors LLC,,,,WESTFIELD,,2,2014,"LAND USE MATTERS - WESTFIELD CENTURY CITY, TOPANGA, PROMENADE & THE VILLAGE AT WESTFIELD TOPANGA",,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library | Municipal Improvement Corporation of LA (MICLA) | Neighborhoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17901
"Sage Strategies, LLC",,,,"Regency Outdoor Advertising, Inc.",,2,2014,,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Aging | Airports, Los Angeles World (LAWA, LAX) | Animal Services | Board of Referred Powers | Building and Safety | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | City Clerk | Commission on Community and Family Services | Convention Center | Cultural Affairs | Deferred Compensation Board | Dept of Neighborhood Empowerment (DONE) | Disability | Economic and Workforce Development Dept (EWDD) | El Pueblo | Emergency Management | Employee Relations Board | Ethics Commission, City (CEC) | Finance, Office of | Fire (LAFD) | Fire and Police Pension | General Services | Harbor (Port of LA, POLA) | Housing and Community Investment | Housing Authority (HACLA) | Human Relations Commission | Industrial Development Authority | Information Technology Agency (ITA) | LA City Employees' Retirement System (LACERS) | Library | Municipal Improvement Corporation of LA (MICLA) | Neighborhoo",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18021
Latham & Watkins LLP,,,,"512 Perugia Way, LLC",,2,2014,General land use and transportation matters,,APC,1500 Gilcrest Dr.,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17992
Latham & Watkins LLP,,BRUCE & MARTHA,,KARSH,,2,2014,"H25A LLC - Land & transportation issues concerning 9933, 9937 & 9941 Tower Lane",,,1256 Delresto Drive,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17992
"Capitol Advocacy, LLC",,,,"Logisticare Solutions, LLC",,2,2014,Non-emergency medical transportation,,,,"City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17919
"Elizabeth Peterson Group, Inc.",,,,4477 Hollywood Blvd LLC,,2,2014,Proposed Hotel,2013-3421-MCUP-CU-SPP,APC,4483 W. Hollywood Blvd,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
"Elizabeth Peterson Group, Inc.",,,,Mrs. B LLC,,2,2014,By the Way Bar/CUP,2012-0817(CUB),APC,438 S Main,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
"Elizabeth Peterson Group, Inc.",,,,"Flywheel Sports, Inc.",,2,2014,Flywheel/Zoning Variance,2013-1033-ZV,APC,147 N Larchmont Ave,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
"Elizabeth Peterson Group, Inc.",,,,Group 7 Enterprises LLC,,2,2014,Silo Vodka Bar,14-0482,APC,"221 W. 7the Street / Los Angles, CA  90014",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
"Elizabeth Peterson Group, Inc.",,,,"Chol Enterprises, Inc.",,2,2014,The Globe/Plan Approval,2009-4-RV-PA4,APC,740 S Broadway,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
"Elizabeth Peterson Group, Inc.",,,,Loteria Grill,,2,2014,Loteria Grill,2014-33-CUP,APC,"6631 Hollywood Boulevard / Los Angeles, CA  90028",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
"Elizabeth Peterson Group, Inc.",,,,The Morrison,,2,2014,The Morrison,2014-1216-CUB,APC,"3179 Los Feliz Boulevard / Los Angeles, CA  90039",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
"Elizabeth Peterson Group, Inc.",,,,City Market of Los Angeles,,2,2014,City Market of Los Angeles,,APC,"1126 San Julian / Los Angeles, CA  90015",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
Park & Velayos,,,,Northwood Investors LLC,,2,2014,Land Use and Transportation Matters,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18078
Park & Velayos,,,,"Playa Capital Company, LLC",,2,2014,CAMPUS AT PLAYA VISTA,,APC,PLAYA VISTA DEVELOPMENT,City Council (incl. Districts and Committees) | Cultural Affairs,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18078
Richard Alatorre,,,,Hadley Towing,,2,2014,Trying to become a franchise in the City of Los Angeles,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18087
Richard Alatorre,,,,I Love L.A.,,2,2014,Relationship between airport and I Love L.A.,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18087
DLA Piper LLP (US),,,,"940 Figueroa, LLC",,2,2014,Variety Arts Building,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18089
DLA Piper LLP (US),,,,"Greenland US Consulting, Inc.",,2,2014,Purchase of Metropolis,,,,"City Council (incl. Districts and Committees) | Planning, City | Public Works, Engineering | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18089
DLA Piper LLP (US),,,,Jade Enterprises,,2,2014,500 West Pico Property ,,APC,,"Mayor, Office of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18089
"Aristos Strategy, LLC",,,,Advanced Environmental Group LLC,,2,2014,Reduce Emissions in Cargo Ships,,,San Pedro,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18090
"Elizabeth Peterson Group, Inc.",,,,Local 1205,,2,2014,Local 1205,ZA-2012-3443(CUB),APC,1205 Abbot Kinney,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18013
Richard Alatorre,,,,Mike Roos & Company on behalf of CBS Outdoor,,2,2014,Enactment of a contemporary sign and building ordinance.,,,Los Angeles,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18087
"High Point Strategies, LLC",,,,City of El Segundo,,2,2014,Various Matters re LAX,,,LAX,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18096
"High Point Strategies, LLC",,,,"MP Aero, LLC",,2,2014,Lease,,,Van Nuys Airport,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18096
Ek & Sunkin,,,,BreitBurn Management Company,,2,2014,Issues dealing with drilling in the City of Los Angeles,,APC,City Council,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18108
Ek & Sunkin,,,,Harvard Westlake School,,2,2014,issues related to development project,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18108
Ek & Sunkin,,,,Intelligent Sign Network LLC,,2,2014,Issues related to digital signs,,APC,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18108
Ek & Sunkin,,,,Jason Teague,,2,2014,issues related to development project,,,Council District 11,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18108
Ek & Sunkin,,,,McCourt Global,,2,2014,Issues dealing with property development,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18108
Ek & Sunkin,,,,Pacific Maritime Association,,2,2014,issues related to port contracts,,APC,,"Mayor, Office of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18108
"Aristos Strategy, LLC",,,,Jenna Development,,2,2014,Parking Lot Development,,APC,San Pedro,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18090
Mike Roos and Company,,,,CBS Outdoor,,2,2014,Enactment of a contemporary sign and building ordinance,,,Los Angeles,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18115
Mike Roos and Company,,,,City of Ontario,,2,2014,To encourage the city to transfer ownership of title of airport from City of LA to City of ONtario,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18115
"Parker, Milliken, Clark, O'Hara & Samuelian, APC",,,,"Parking Concepts, Inc.",,2,2014,File No. 13-0922,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18109
Mike Roos and Company,,,,Hertz Corpration,,2,2014,To discuss consolidated proposal for a rental car faciliyt at LAX,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18115
Mike Roos and Company,,,,Mike Roos & Company on behalf of Bell Cab,,2,2014,To maintain and improve relationship with the City,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18115
Mike Roos and Company,,,,Terra-Gen Operating Company,,2,2014,To present the City with renewable sources of energy adn development possibilities.,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18115
Mike Roos and Company,,,,The Coffee Bean & Tea Leaf,,2,2014,To promote the Coffee Bean franchise not provided in City controlled venues,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18115
Apex LA,,,,Casa De Soria,,2,2014,Casa De Soria - CUP,,,,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17643
Apex LA,,,,"Century Theaters, Inc.",,2,2014,Century Theaters ,,APC,,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17643
Apex LA,,,,Nuart Theatre,,2,2014,Nuart Theatre,,,,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17643
Apex LA,,,,Dirt Dog,,2,2014,Dirt Dog - CUP,,,,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17643
Apex LA,,,,Mari Vanna LA,,2,2014,Mari Vanna LA,,,,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17643
Apex LA,,,,Uka's Big Saver Foods,,2,2014,Uka's Big Saver Foods,,,,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17643
Apex LA,,,,Benihana,,2,2014,RA Sushi,,,,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17643
Manatt Phelps & Phillips LLP,,,,Hollywood Museum,,2,2014,Assist with City signage ordinances and obtain entitlements for new signage.,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18120
Lazard Freres & Co. LLC,,,,Blue Sea Capital LLC,,2,2014,investments in limited partnership interests,,,,Fire and Police Pension | LA City Employees' Retirement System (LACERS),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=17656
Katten Muchin Rosenman LLP,,,,"Book City News, Inc.",,2,2014,The Lexington,,,,"Neighborhood Councils | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18136
Katten Muchin Rosenman LLP,,,,Kalnel Gardens,,2,2014,Kalnell Gardens,,,,"City Attorney, Office of | City Council (incl. Districts and Committees) | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18136
Katten Muchin Rosenman LLP,,,,Leo Baeck Temple,,2,2014,Campus Expansion Buildout,,,1300 N. Sepulveda Boulevard,"City Council (incl. Districts and Committees) | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18136
Elkins Kalt Weintraub Reuben Gartside LLP,,,,"Hudson Pacific Properties, Inc.",,2,2014,Not Provided,,,"12333 W. Olympic Boulevard, 1901, 1925 and 1933 S. Bundy Drive","Building and Safety | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Elkins Kalt Weintraub Reuben Gartside LLP,,,,The Clarett Group,,2,2014,Health Club Variance,ZA-2014-2721-ZV,APC,6201 Hollywood Boulevard,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Elkins Kalt Weintraub Reuben Gartside LLP,,,,The Clarett Group,,2,2014,Not Provided,,,901 Abbot Kinney Blvd.,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Elkins Kalt Weintraub Reuben Gartside LLP,,,,The Clarett Group,,2,2014,Taft Building,,APC,1680 Vine,Building and Safety,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
"Sheppard, Mullin, Richter & Hampton LLP",,,,Hudson Capital LLC,,2,2014,Sunset - Gower,,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18152
"Sheppard, Mullin, Richter & Hampton LLP",,,,Hudson Capital LLC,,2,2014,5901 Sunset,2013-2812-CU-SPR,APC,5901 Sunset Boulevard,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18152
"Sheppard, Mullin, Richter & Hampton LLP",,,,Hudson Capital LLC,,2,2014,Sunset Bronson Studios,2010-1767-CU-SPR-GB,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18152
"Sheppard, Mullin, Richter & Hampton LLP",,,,The Walt Disney Company,,2,2014,Jimmy Kimmel sign application,08-2020,APC,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18152
"Sheppard, Mullin, Richter & Hampton LLP",,,,LGO Hospitality,,2,2014,1001 N. Orange Drive,,,"Los Angeles, CA",,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18152
"Sheppard, Mullin, Richter & Hampton LLP",,,,Pukeiti/Ruapehu LLC,,2,2014,Order to Comply No. MT 01142014-574,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18152
"Sheppard, Mullin, Richter & Hampton LLP",,,,"Whitebird, Inc.",,2,2014,Canyon Hill Project,,,La Tuna Canyon,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18152
Elkins Kalt Weintraub Reuben Gartside LLP,,,,The Clarett Group,,2,2014,Eastown - General Land Use Issues,,APC,6201 Hollywood Blvd.,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Elkins Kalt Weintraub Reuben Gartside LLP,,,,The Clarett Group,,2,2014,Soul Cycle Variance,ZA-2014-1652-ZV,APC,6201 Hollywood Blvd.,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Elkins Kalt Weintraub Reuben Gartside LLP,,,,The Clarett Group,,2,2014,Eastown - Master Conditional Use Permit for Alcoholic Beverages,ZA-2013-4027-MCUP,APC,6201 Hollywood Blvd.,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Elkins Kalt Weintraub Reuben Gartside LLP,,,,"Kilroy Realty Corporation; Kilroy Realty, L.P.; KR 6255 Sunset, LLC",,2,2014,Columbia Square,,,6121 Sunset,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Elkins Kalt Weintraub Reuben Gartside LLP,,,,"Kilroy Realty Corporation; Kilroy Realty, L.P.; KR 6255 Sunset, LLC",,2,2014,,ENV-2014-2735-EIR,APC,1341 Vine Street,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18151
Marathon Communications Inc,,,,Bechtel Infrastructure Corporation,,2,2014,"Strategy Development, government affairs and community outreach and ZIPcar RFP",,APC,City of Los Angeles,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX) | City Clerk | Ethics Commission, City (CEC) | Planning, City | Public Works, Board of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18158
"Gonzalez, Quintana & Hunter, LLC",,,,Uber Technologies Inc.,,2,2014,Airport Permitting,,,Airport,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18114
Kendall Brill  & Klieger LLP,,,,CBS Outdoor Inc.,,2,2014,Billboard related matters,,APC,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18179
Sugerman Communications Group,,,,Archer School for Girls,,2,2014,Master Plan,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18187
Sugerman Communications Group,,,,LOYOLA MARYMOUNT UNIVERSITY,,2,2014,COMMUNITY AND GOVERNMENTAL OUTREACH,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18187
"TMG Solutions, Inc",,,,Whole Foods Market,,3,2014,WLA/11666 National Blvd,1996-0405-PAD-PA1,APC,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18201
"TMG Solutions, Inc",,,,Whole Foods Market,,3,2014,VEN - Lincoln/Rose/225 Lincoln Blvd.,APCW-2014-1761-SPE-CU-ZV-CDP-SPP,APC,,"Building and Safety | Planning, City | Public Works, Board of",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18201
"TMG Solutions, Inc",,,,Whole Foods Market,,3,2014,WDH Woodland Hills,ZA2004-1378 CUB (PA3),APC,21347 Ventura Blvd.,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=18201
