TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200800A,446120,"Cosmetics, beauty supplies, & perfume stores",514,$167496890.00
201400A,513322,Cellular and Other Wireless Telecommunications,33,$910451804.00
200600A,,,266305,$51233807882.37
201200A,325900,Other chemical products & preparation mfg.,117,$44734959.37
201300A,541310,Architectural services,1259,$589803998.88
201400A,325900,Other chemical products & preparation mfg.,135,$91705536.00
201100A,424940,Tobacco & tobacco products,297,$99411451.00
200900A,561410,Document preparation services,119,$8519469.60
200500A,451110,Sporting goods stores,212,$125380069.15
201200A,621340,"Offices of physical, occupational & speech therapists, & audiologists",901,$74865364.34
200700A,722410,Drinking places (alcoholic beverages),228,$55640522.00
201100A,811410,Home & garden equipment & appliance repair & maintenance,293,$11908118.37
201100A,999999,Unclassified establishments (unable to classify),1619,$267673442.47
201400A,237210,Land subdivision,287,$589972293.00
201400A,713100,Amusement parks & arcades,30,$21575411.00
200800A,423930,Recyclable materials,184,$283917210.00
201200A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",1131,$241896047.13
201100A,623000,Nursing & residential care facilities,512,$581579533.20
201200A,314000,Textile product mills,562,$346070072.22
200900A,811110,Automotive mechanical & electrical repair & maintenance,1216,$100673430.00
201200A,488000,Support activities for transportation (including motor vehicle towing),1104,$1144304435.31
201400A,423940,"Jewelry, watch, precious stone, & precious metals",2534,$1088622198.00
201200A,621391,Offices of podiatrists,109,$24311611.89
201200A,541214,Payroll services,90,$23662852.00
200600A,444190,Other building materials dealers,333,$1202023834.14
200600A,532400,Commercial & industrial machinery & equipment rental & leasing,180,$418760223.10
201100A,561710,Exterminating & pest control services,215,$69612390.01
201300A,424920,"Books, periodicals, & newspapers",625,$602811977.15
200600A,484110,"General freight trucking, local",489,$142483794.58
201000A,562000,Waste management & remediation services,177,$163202953.00
201300A,621399,Offices of all other miscellaneous health practitioners,2827,$906033989.92
200500A,325900,Other chemical products & preparation mfg.,25,$12115848.00
201200A,443130,Camera & photographic supplies stores,116,$16145061.00
200800A,531210,Offices of real estate agents & brokers,1788,$948099591.52
200900A,722410,Drinking places (alcoholic beverages),238,$60635582.00
201400A,811110,Automotive mechanical & electrical repair & maintenance,1985,$198913023.00
201300A,423600,Electrical & electronic goods,1256,$1954946302.78
200700A,423600,Electrical & electronic goods,1124,$1930680620.00
201300A,812111,Barber shops,3115,$98582734.59
200800A,454310,Fuel dealers,64,$469126058.00
201000A,448190,Other Clothing Stores,638,$155169132.32
200500A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",523,$687537256.37
201400A,541100,Legal services,7100,$8664044161.68
201100A,453910,Pet & pet supplies stores,151,$66373061.93
201300A,622000,Hospitals,243,$1249184557.00
200500A,722110,Full-service restaurants,4910,$3093932864.39
201400A,541320,Landscape architecture services,906,$136281090.27
200700A,445230,Fruit & vegetable markets,463,$1149506404.00
200500A,561410,Document preparation services,35,$3476812.40
200600A,711100,Performing arts companies,147,$185371026.00
201300A,234920,Power and Communication Transmission Line Construction (1997 NAICS),51,$48474786.71
201100A,442110,Furniture stores,1081,$486287937.82
200900A,812990,All other personal services,9466,$340178749.39
201100A,424500,Farm product raw materials,51,$97545994.00
201400A,711510,"Independent artists, writers, & performers",14275,$1522345373.31
201000A,512200,Sound recording industries,1031,$229175542.79
200500A,524210,Insurance agencies & brokerages,639,$427356105.70
200900A,424300,"Apparel, piece goods, & notions",3247,$2533392824.06
200900A,454310,Fuel dealers,64,$688627438.00
201000A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),169,$251128588.50
201100A,423200,Furniture &  home furnishing,463,$201021576.10
200500A,315000,Apparel mfg.,1499,$427452606.73
200500A,445310,"Beer, wine & liquor stores",392,$112104310.29
200900A,452000,General merchandise stores,3718,$2463052256.50
200600A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",562,$80918619.95
200500A,485990,Other transit & ground passenger transportation,68,$999.00
201200A,812220,Cemeteries & crematories,17,$19687972.00
201300A,811210,Electronic & precision equipment repair & maintenance,430,$50244215.00
201100A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,264,$119713553.52
201400A,541380,Testing laboratories,94,$32779633.00
200500A,451211,Book stores,339,$116237965.48
201200A,541600,"Management, scientific, & technical consulting services",10465,$1886189959.31
201300A,311300,Sugar & confectionery product mfg.,147,$9385721.66
201400A,424600,Chemical & allied products,231,$1403266300.00
200900A,561720,Janitorial services,7238,$312717928.00
201100A,423700,"Hardware, & plumbing & heating equipment  & supplies",206,$308861365.46
200800A,811210,Electronic & precision equipment repair & maintenance,245,$23869912.00
201400A,621330,Offices of mental health practitioners (except physicians),1057,$100598334.58
201200A,334000,Computer & electronic product mfg.,1132,$472853700.83
200600A,454210,Vending machine operators,227,$29133175.00
201000A,339900,Other miscellaneous mfg.,1543,$299632016.40
200800A,454113,Mail-order houses,30,$22298006.00
201400A,311600,Animal Slaughtering and Processing,15,$5033437.00
200800A,424100,Paper & paper products,226,$342458868.00
201400A,444120,Paint & wallpaper stores,82,$29238955.00
201100A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",120,$35743689.00
200600A,235510,Carpentry Contractors (1997 NAICS),450,$140206453.92
201100A,454310,Fuel dealers,70,$409225566.00
200900A,331000,Primary metal mfg.,43,$32600866.00
200800A,561710,Exterminating & pest control services,185,$54035662.00
200500A,621399,Offices of all other miscellaneous health practitioners,2198,$387394832.09
200500A,424300,"Apparel, piece goods, & notions",3020,$2261564335.56
200700A,611000,"Educational services (including schools, colleges, & universities)",1905,$454647648.00
200700A,532400,Commercial & industrial machinery & equipment rental & leasing,220,$551785911.66
200600A,424100,Paper & paper products,213,$341553187.00
200600A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",536,$817470327.96
201400A,313000,Textile mills,186,$64702507.00
201200A,234120,Bridge and Tunnel Construction (1997 NAICS),99,$58039125.00
201000A,812990,All other personal services,11613,$451419125.54
201100A,561740,Carpet & upholstery cleaning services,583,$32188453.40
200500A,524290,Other insurance related activities,103,$53660799.00
200700A,621111,Offices of physicians (except mental health specialists),4563,$2551370250.00
201300A,722410,Drinking places (alcoholic beverages),248,$71861616.00
200800A,313000,Textile mills,59,$9075121.00
201400A,711100,Performing arts companies,620,$328572477.52
201300A,561430,Business service centers (including private mail centers & copy shops),390,$114825411.50
200500A,611000,"Educational services (including schools, colleges, & universities)",1803,$382009109.58
200900A,336000,Transportation equipment mfg.,68,$90302415.00
201100A,423920,Toy & hobby goods & supplies,270,$94241872.00
201000A,448150,Clothing accessories stores,798,$212540932.00
200900A,448190,Other Clothing Stores,560,$147028903.25
201200A,234990,Other Heavy and Civil Engineering Construction,84,$58050640.00
201200A,424100,Paper & paper products,251,$284010486.00
201000A,541211,Offices of certified public accountants,545,$380784438.00
201400A,311300,Sugar & confectionery product mfg.,143,$12927728.00
200900A,424920,"Books, periodicals, & newspapers",481,$803167598.00
200800A,448140,Family clothing stores,796,$484739523.00
200500A,812990,All other personal services,2047,$66489112.02
200600A,622000,Hospitals,117,$722539423.00
200700A,561440,Collection agencies,101,$48753564.00
201300A,311800,Bakeries & tortilla mfg.,644,$116727073.98
200600A,333000,Machinery mfg.,39,$65790740.00
200600A,532100,Automotive equipment rental & leasing,222,$476001815.00
201000A,812220,Cemeteries & crematories,16,$18578108.00
201200A,485990,Other transit & ground passenger transportation,259,$5268529.00
201100A,621340,"Offices of physical, occupational & speech therapists, & audiologists",752,$69060034.00
201100A,541800,Advertising & related services,1963,$1269280473.61
200900A,541510,Computer systems design & related services,2046,$666133407.81
201200A,444120,Paint & wallpaper stores,88,$23321128.00
201200A,115310,Support activities for forestry,627,$83985522.00
201400A,445220,Fish & seafood markets,97,$110390823.00
200800A,233220,Multifamily Housing Construction (1997 NAICS),800,$1346663441.00
201400A,235810,Water Well Drilling Contractors (1997 NAICS),21,$7342198.00
201000A,238990,All other specialty trade contractors,2717,$621057333.40
201400A,335000,"Electrical equipment, appliance, & component mfg.",527,$168008906.00
201200A,323100,Printing & related support activities,1111,$465937809.09
200700A,335000,"Electrical equipment, appliance, & component mfg.",126,$27767906.76
201300A,424210,Drugs & druggists' sundries,256,$514484482.00
200700A,442110,Furniture stores,1119,$704376779.00
201200A,541910,Market research & public opinion polling,373,$185146633.82
200600A,532290,Other consumer goods rental,1795,$308593636.00
201100A,441222,Boat dealers,42,$2182972.00
200800A,561730,Landscaping services,2676,$95159146.80
200500A,811210,Electronic & precision equipment repair & maintenance,97,$9577661.00
201100A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6441,$2632311794.95
200700A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,177,$32863576.92
201400A,531320,Offices of real estate appraisers,153,$11930943.20
200500A,888888,Medical Marijuana Collective,12,$203440.00
201400A,442200,Home furnishings stores,777,$714935659.68
201400A,425110,Business to business electronic markets,67,$9173252.00
201100A,561300,Employment services,5988,$1375924134.83
200900A,622000,Hospitals,162,$916042848.00
200700A,562000,Waste management & remediation services,140,$136124276.25
201200A,812930,Parking lots & garages,1652,$495806021.99
200900A,541340,Drafting services,125,$4195880.29
201200A,722110,Full-service restaurants,6831,$4168438575.96
200600A,811120,"Automotive body, paint, interior, & glass repair",199,$56324335.14
200500A,487000,Scenic & sightseeing transportation,26,$424084.00
200600A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",84,$38798791.15
200700A,561500,Travel arrangement & reservation services,6889,$608567754.25
200500A,523120,Securities brokers,116,$956636937.41
200900A,711510,"Independent artists, writers, & performers",8391,$688972020.41
200500A,621310,Offices of chiropractors,462,$71113188.35
201200A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,283,$146699494.00
201200A,444130,Hardware stores,466,$683769285.36
201200A,424300,"Apparel, piece goods, & notions",3449,$3044828092.65
200800A,423300,Lumber & other construction materials,300,$816314164.00
201300A,424990,Other miscellaneous nondurable goods,3855,$1843589498.70
200500A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",199,$31364426.28
201200A,541320,Landscape architecture services,925,$135138722.00
201200A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),114,$196644247.00
200800A,423910,Sporting & recreational goods & supplies,190,$135274386.00
201300A,238290,Other building equipment contractors,386,$260974983.47
201300A,541700,Scientific research & development services,291,$87774369.00
201100A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2344,$478843537.00
200800A,424600,Chemical & allied products,239,$953116929.00
201000A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",807,$121334094.80
201300A,524210,Insurance agencies & brokerages,1095,$498774267.29
201100A,532210,Consumer electronics & appliances rental,660,$630429682.77
200900A,711100,Performing arts companies,350,$141647126.00
201200A,311800,Bakeries & tortilla mfg.,568,$112769350.00
201100A,561210,Facilities support (management) services,196,$69688906.00
200800A,722211,Limited-service eating places,686,$218362738.00
200700A,425120,Wholesale trade agents & brokers,617,$611112890.47
201100A,448210,Shoe stores,427,$221546852.24
200600A,424210,Drugs & druggists' sundries,198,$258537739.28
201200A,532210,Consumer electronics & appliances rental,655,$496337237.92
201300A,722110,Full-service restaurants,7181,$4562026519.11
201300A,453210,Office supplies & stationery stores,330,$222691390.94
201400A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",699,$1474971128.29
201100A,233320,Commercial and Institutional Building Construction (1997 NAICS),530,$740681837.00
201300A,621310,Offices of chiropractors,717,$89172886.53
200900A,314000,Textile product mills,424,$245773434.00
200900A,541213,Tax preparation services,961,$186145651.26
200600A,424400,Grocery & related products,1225,$4932242850.81
201000A,312000,Beverage & tobacco product mfg.,19,$332060.00
201400A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",510,$257574524.73
201200A,711510,"Independent artists, writers, & performers",13368,$1164604684.76
200800A,325900,Other chemical products & preparation mfg.,71,$35407149.50
200600A,561430,Business service centers (including private mail centers & copy shops),255,$110631365.58
201100A,339110,Medical equipment & supplies mfg.,380,$180182952.71
201400A,424300,"Apparel, piece goods, & notions",3467,$3059273948.46
200600A,562000,Waste management & remediation services,123,$124517558.00
201300A,722300,Special food services (including food service contractors & caterers),1847,$268431935.00
200900A,325100,Basic chemical mfg.,19,$18056838.41
200800A,812920,Photofinishing,113,$10417127.00
201400A,238990,All other specialty trade contractors,3622,$822320638.70
201300A,446190,Other health & personal care stores,700,$209458055.29
201100A,453220,"Gift, novelty, & souvenir stores",1149,$163253637.81
201400A,235210,Painting and Wall Covering Contractors (1997 NAICS),1752,$458813564.75
201300A,423200,Furniture &  home furnishing,512,$254036645.00
200600A,313000,Textile mills,31,$8334783.00
200500A,448190,Other Clothing Stores,351,$79230979.30
200900A,541214,Payroll services,61,$10258242.00
201400A,722410,Drinking places (alcoholic beverages),222,$75762162.00
200800A,532100,Automotive equipment rental & leasing,276,$653635324.00
200700A,423300,Lumber & other construction materials,296,$855118228.00
201300A,447100,Gasoline stations (including convenience stores with gas),614,$3245502355.62
200800A,337000,Furniture & related product mfg.,172,$39766523.00
200700A,448150,Clothing accessories stores,510,$185302681.00
201400A,444130,Hardware stores,433,$669743520.00
201300A,454113,Mail-order houses,66,$28333890.00
200600A,541920,Photographic services,1348,$147095479.93
200800A,453110,Florists,426,$48968789.00
201000A,233320,Commercial and Institutional Building Construction (1997 NAICS),507,$908534005.00
200900A,423700,"Hardware, & plumbing & heating equipment  & supplies",181,$362896335.00
200800A,115210,Support activities for animal production (including farriers),207,$20121479.00
200600A,424990,Other miscellaneous nondurable goods,2607,$1816876037.74
200800A,448120,Women's clothing stores,287,$67447760.00
200800A,722110,Full-service restaurants,5724,$3700345711.00
201300A,325900,Other chemical products & preparation mfg.,137,$32573289.60
200800A,532290,Other consumer goods rental,2570,$431812774.88
201100A,622000,Hospitals,201,$1077063325.50
201000A,812910,Pet care (except veterinary) services,322,$20019633.00
201200A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),418,$96367905.83
201000A,423400,Professional & commercial equipment & supplies,1019,$1670468529.48
201200A,453920,Art dealers,855,$54850410.12
200600A,424940,Tobacco & tobacco products,101,$81207829.00
201200A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2532,$542118126.80
200500A,443111,Household appliance stores,236,$205828577.51
201400A,424910,Farm supplies,18,$53260137.00
200700A,423910,Sporting & recreational goods & supplies,169,$151713966.00
200600A,561740,Carpet & upholstery cleaning services,377,$28561277.00
201000A,522300,Activities related to credit intermediation (including loan brokers),667,$230888421.00
200800A,541990,"All other professional, scientific, & technical services",5358,$587446506.42
201100A,234920,Power and Communication Transmission Line Construction (1997 NAICS),44,$32929066.00
201300A,813000,"Religious, grantmaking, civic, professional, & similar organizations",139,$10740413.00
200600A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),532,$158465816.20
200500A,443120,Computer & software stores,675,$441360081.98
201200A,446130,Optical goods stores,215,$130098220.00
200700A,541800,Advertising & related services,1219,$922018280.00
200600A,233220,Multifamily Housing Construction (1997 NAICS),713,$1085925398.15
201000A,448130,Children's & infants' clothing stores,219,$45193103.00
200700A,424400,Grocery & related products,1266,$5306084104.00
200500A,561740,Carpet & upholstery cleaning services,342,$23704345.86
200500A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),500,$139074986.69
201300A,441110,New car dealers,399,$3974072632.00
200600A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",286,$119664784.00
201400A,519100,Other information services (including news syndicates and libraries),671,$171999545.00
200600A,423200,Furniture &  home furnishing,376,$328277935.38
201100A,425110,Business to business electronic markets,66,$9966021.00
201100A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",200,$25917872.51
201100A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",483,$142274057.00
201200A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",941,$313372806.87
201200A,445310,"Beer, wine & liquor stores",608,$210436955.73
200500A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",479,$71173487.43
201200A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",875,$179002226.14
201200A,445100,Grocery stores (including supermarkets & convenience stores without gas),1670,$5224111763.09
201400A,812310,Coin-operated laundries & drycleaners,649,$102264304.00
200600A,446130,Optical goods stores,181,$131263414.00
201000A,622000,Hospitals,180,$1014143407.00
201000A,326000,Plastics & rubber products mfg.,97,$22449712.00
201000A,621330,Offices of mental health practitioners (except physicians),672,$41609975.38
200700A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),353,$24872736.00
201000A,621391,Offices of podiatrists,106,$21549843.00
201400A,541214,Payroll services,104,$30953725.00
201400A,423400,Professional & commercial equipment & supplies,1061,$1613441603.75
201300A,621510,Medical & diagnostic laboratories,571,$626338766.75
201000A,424210,Drugs & druggists' sundries,237,$369682782.00
200700A,452000,General merchandise stores,3484,$2563473876.00
201200A,448210,Shoe stores,459,$242930642.25
200900A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),152,$319071584.00
201300A,541940,Veterinary services,266,$232327009.00
200900A,541940,Veterinary services,205,$210623799.00
200500A,532220,Formal wear & costume rental,101,$20408739.20
201400A,813000,"Religious, grantmaking, civic, professional, & similar organizations",114,$11782184.00
201300A,811110,Automotive mechanical & electrical repair & maintenance,2081,$174059291.38
200800A,321000,Wood product mfg.,89,$13887398.00
200800A,541330,Engineering services,1024,$516763759.91
200700A,314000,Textile product mills,335,$240530588.00
201000A,445290,Home furnishings stores,716,$386475459.58
200600A,812330,Linen & uniform supply,25,$93451353.00
201000A,423930,Recyclable materials,251,$197939634.00
201000A,541214,Payroll services,75,$12614080.00
200500A,423400,Professional & commercial equipment & supplies,870,$1524093905.06
201400A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3511,$1294414746.62
201400A,235920,Glass and Glazing Contractors (1997 NAICS),177,$41475217.00
201400A,423990,Other miscellaneous durable goods,2377,$997150180.58
201000A,453110,Florists,444,$41581728.65
200500A,453110,Florists,377,$41794244.00
201200A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),747,$176329113.90
201300A,332000,Fabricated metal product mfg.,326,$455521362.00
201100A,513322,Cellular and Other Wireless Telecommunications,16,$1241539571.00
201200A,523110,Investment bankers & securities dealers,107,$240476485.00
200700A,235930,Excavation Contractors (1997 NAICS),44,$106533331.00
200800A,442110,Furniture stores,1126,$662800588.00
201100A,424990,Other miscellaneous nondurable goods,3465,$1653124927.59
200700A,453110,Florists,408,$48488442.00
200900A,621310,Offices of chiropractors,589,$83249876.19
200500A,621111,Offices of physicians (except mental health specialists),4222,$2280673445.10
200700A,516110,Internet publishing & broadcasting,761,$123791888.00
200500A,561110,Office administrative services,926,$306332040.85
200700A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",92,$1878797998.20
201200A,235510,Carpentry Contractors (1997 NAICS),515,$135027368.00
201000A,721310,Rooming & boarding houses,304,$259013538.00
201300A,454210,Vending machine operators,332,$54846709.00
201400A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",123,$46010138.00
200700A,541940,Veterinary services,185,$184114091.00
200900A,561790,Other services to buildings & dwellings,1320,$36513638.00
200600A,234110,Highway and Street Construction (1997 NAICS),31,$110123571.00
200600A,531310,Real estate property managers,1398,$295514289.54
201300A,517000,Telecommunications,177,$1093469271.00
200800A,561720,Janitorial services,6382,$274017231.97
201000A,621310,Offices of chiropractors,616,$79788410.00
200900A,561740,Carpet & upholstery cleaning services,517,$32295988.00
200700A,423930,Recyclable materials,154,$301493841.00
201400A,339110,Medical equipment & supplies mfg.,445,$275513613.00
200900A,561430,Business service centers (including private mail centers & copy shops),323,$137144464.00
201400A,234920,Power and Communication Transmission Line Construction (1997 NAICS),48,$51230566.00
201200A,531210,Offices of real estate agents & brokers,2041,$731730268.83
201300A,446130,Optical goods stores,222,$129800385.00
200700A,424990,Other miscellaneous nondurable goods,2745,$1882854058.00
201100A,541940,Veterinary services,244,$222738161.00
200500A,444130,Hardware stores,478,$683623547.86
201300A,485300,Taxi & limousine service,1640,$5095877.00
201200A,561710,Exterminating & pest control services,236,$70710866.00
200700A,453220,"Gift, novelty, & souvenir stores",881,$147329828.00
201200A,454111,Electronic shopping,409,$26752361.40
201400A,454310,Fuel dealers,98,$990184254.00
200700A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),79,$74605100.00
201400A,423700,"Hardware, & plumbing & heating equipment  & supplies",208,$378177538.00
201200A,561790,Other services to buildings & dwellings,2111,$52446174.00
201000A,235910,Structural Steel Erection Contractors (1997 NAICS),101,$73630719.00
200700A,621320,Offices of optometrists,118,$38190504.00
201000A,531210,Offices of real estate agents & brokers,1903,$650543705.57
200700A,531210,Offices of real estate agents & brokers,1703,$938045780.97
200700A,235510,Carpentry Contractors (1997 NAICS),473,$177127823.00
200700A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),333,$98664063.00
201300A,424800,"Beer, wine, & distilled alcoholic beverage",114,$60519508.00
201100A,541510,Computer systems design & related services,2478,$641152893.00
200800A,446110,Pharmacies & drug stores,499,$2933889286.00
201100A,541320,Landscape architecture services,898,$135038418.29
201200A,512100,Motion picture & video industries (except video rental),8490,$6542488939.75
201200A,722300,Special food services (including food service contractors & caterers),1544,$209954648.23
201000A,423300,Lumber & other construction materials,295,$574506467.00
200700A,532210,Consumer electronics & appliances rental,664,$594093700.00
200700A,441110,New car dealers,372,$4011668406.00
201000A,485210,Interurban & rural bus transportation,28,$10959056.00
200900A,561730,Landscaping services,2830,$98842951.00
200900A,423300,Lumber & other construction materials,296,$672102308.00
201100A,445310,"Beer, wine & liquor stores",578,$183106309.17
201400A,523120,Securities brokers,153,$795136027.00
200900A,541360,Geophysical surveying & mapping services,29,$3322433.00
200500A,531390,Other activities related to real estate,185,$47295519.36
200700A,541320,Landscape architecture services,744,$114910465.00
200600A,722300,Special food services (including food service contractors & caterers),265,$82685841.58
201400A,448140,Family clothing stores,1140,$619997993.51
200600A,315000,Apparel mfg.,1823,$536930133.85
201000A,541600,"Management, scientific, & technical consulting services",8869,$1718983636.77
200700A,454310,Fuel dealers,60,$201527857.00
201000A,448110,Men's clothing stores,381,$75540419.00
200900A,444190,Other building materials dealers,380,$1143882127.00
201100A,446110,Pharmacies & drug stores,504,$3119973109.63
201400A,453110,Florists,402,$52954773.00
201400A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",1272,$251320349.90
201300A,448150,Clothing accessories stores,1205,$331661801.09
201100A,233210,Single Family Housing Construction (1997 NAICS),7255,$1266525468.95
200700A,423100,Motor vehicle & motor vehicle parts & supplies,942,$1490450313.00
200700A,811120,"Automotive body, paint, interior, & glass repair",259,$70721882.00
200700A,623000,Nursing & residential care facilities,366,$416956883.00
201000A,518111,Internet service providers,189,$154434222.00
200700A,444130,Hardware stores,486,$755600220.00
201100A,811210,Electronic & precision equipment repair & maintenance,356,$23039608.00
201400A,624310,Vocational rehabilitation services,73,$16478979.00
200600A,441222,Boat dealers,36,$16925566.00
200900A,424400,Grocery & related products,1367,$5572237439.75
200700A,235210,Painting and Wall Covering Contractors (1997 NAICS),1813,$507774790.85
201400A,485990,Other transit & ground passenger transportation,324,$17888572.00
201000A,541100,Legal services,6274,$7461700956.47
201200A,811120,"Automotive body, paint, interior, & glass repair",555,$100990106.00
200700A,454111,Electronic shopping,240,$27754242.00
201300A,812220,Cemeteries & crematories,17,$19235387.00
200700A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",792,$283886491.00
200900A,532230,Video tape & disc rental,180,$6962193.00
201300A,424700,Petroleum & petroleum products,68,$1802320237.00
200500A,446190,Other health & personal care stores,83,$36502466.06
200500A,517000,Telecommunications,138,$1114156912.00
200500A,453920,Art dealers,144,$3002554.87
201100A,324100,Petroleum & coal products mfg.,20,$64342193.00
200700A,445210,Meat markets,57,$14582739.00
201100A,451140,Musical instrument & supplies stores,224,$52484470.00
200800A,445220,Fish & seafood markets,35,$49003171.00
200700A,541213,Tax preparation services,785,$140413696.00
201400A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),179,$265846249.85
201100A,448190,Other Clothing Stores,695,$191521885.61
200800A,518111,Internet service providers,141,$100225724.32
201200A,424700,Petroleum & petroleum products,69,$1029309453.00
201300A,323100,Printing & related support activities,1177,$450973790.55
200600A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",68,$1617911652.00
201000A,453310,Used merchandise stores,234,$32700192.00
201200A,713200,Gambling industries,13,$9724815.00
201100A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),110,$168833416.00
201300A,423800,"Machinery, equipment, & supplies",866,$951193901.24
201000A,423920,Toy & hobby goods & supplies,251,$97820604.00
201300A,513330,Telecommunications Resellers,6,$7533003.00
200800A,323100,Printing & related support activities,853,$564390560.00
200900A,522300,Activities related to credit intermediation (including loan brokers),641,$165709222.00
201400A,448210,Shoe stores,511,$294888537.84
201100A,325100,Basic chemical mfg.,23,$15002479.69
200900A,448120,Women's clothing stores,346,$100193946.00
200900A,423990,Other miscellaneous durable goods,1793,$711892000.55
200900A,424950,"Paint, varnish, & supplies",77,$129979731.00
201000A,115210,Support activities for animal production (including farriers),244,$24742785.00
200800A,517000,Telecommunications,175,$1002806002.00
201200A,424950,"Paint, varnish, & supplies",69,$102384506.00
200700A,522200,Nondepository credit intermediation (including sales financing & consumer lending),474,$181440406.44
201200A,451110,Sporting goods stores,368,$155891955.00
200500A,454113,Mail-order houses,8,$31698.00
201100A,518111,Internet service providers,223,$148873127.00
201300A,445290,Home furnishings stores,706,$417492176.00
201000A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",815,$185983857.62
201400A,541360,Geophysical surveying & mapping services,48,$6962952.00
200700A,423920,Toy & hobby goods & supplies,196,$112021971.00
201000A,337000,Furniture & related product mfg.,235,$85743746.00
200500A,522200,Nondepository credit intermediation (including sales financing & consumer lending),398,$127447110.33
200600A,235310,Electrical Contractors (1997 NAICS),1256,$294691705.08
200500A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",56,$80181340.64
201400A,722300,Special food services (including food service contractors & caterers),1881,$328988761.46
201100A,235310,Electrical Contractors (1997 NAICS),2273,$468207788.23
201000A,623000,Nursing & residential care facilities,479,$547605403.00
201100A,424600,Chemical & allied products,241,$1165978539.00
200800A,448190,Other Clothing Stores,502,$145372186.28
201100A,621310,Offices of chiropractors,646,$84363127.86
200900A,235930,Excavation Contractors (1997 NAICS),58,$72044918.00
200700A,561430,Business service centers (including private mail centers & copy shops),283,$120189109.00
201400A,333000,Machinery mfg.,152,$86558917.00
200700A,444190,Other building materials dealers,362,$1245257545.00
201400A,235310,Electrical Contractors (1997 NAICS),2583,$630510180.67
201000A,423910,Sporting & recreational goods & supplies,233,$130798035.00
201400A,888888,Medical Marijuana Collective,902,$82740175.00
201100A,711100,Performing arts companies,494,$192268000.00
200500A,445290,Home furnishings stores,719,$340803765.00
200800A,454210,Vending machine operators,256,$54478874.00
200900A,624100,Individual & family services,760,$47064902.00
200700A,541360,Geophysical surveying & mapping services,21,$2843380.00
201400A,531100,Lessors of real estate (including mini warehouses & self-storage units),36835,$14234984254.45
200800A,561440,Collection agencies,108,$82420681.00
201100A,423300,Lumber & other construction materials,296,$559652867.00
201100A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),402,$98801257.19
201300A,812910,Pet care (except veterinary) services,514,$34942655.46
201400A,711300,"Promoters of performing arts, sports, & similar events",2144,$1403349751.37
200800A,451110,Sporting goods stores,264,$149526324.00
200800A,442200,Home furnishings stores,749,$637369152.00
